weight,word,color,url
269,birds,,
159,time,,
154,great,,
143,letter,,
135,bird,,
130,summer,,
122,selborne,,
118,species,,
117,winter,,
116,house,,
109,young,,
107,long,,
106,day,,
99,year,,
97,gutenberg,,
88,project,,
86,spring,,
85,1,,
83,water,,
83,nest,,
83,years,,
82,ground,,
81,small,,
80,large,,
78,work,,
78,sir,,
75,dear,,
74,barrington,,
74,weather,,
73,white,,
71,air,,
68,daines,,
68,place,,
67,trees,,
67,honourable,,
66,swallow,,
65,south,,
65,manner,,
63,short,,
63,night,,
63,days,,
62,late,,
62,feet,,
60,called,,
60,april,,
60,people,,
58,good,,
58,vast,,
57,tm,,
57,insects,,
56,breed,,
56,season,,
55,common,,
55,food,,
55,north,,
55,reason,,
54,pennant,,
54,country,,
54,village,,
53,observed,,
53,wings,,
53,wild,,
52,martins,,
52,natural,,
50,kind,,
49,curious,,
49,middle,,
49,soft,,
48,parts,,
48,autumn,,
47,thomas,,
47,black,,
47,swallows,,
47,district,,
47,appears,,
46,works,,
45,esquire,,
44,high,,
44,account,,
43,martin,,
43,wing,,
43,return,,
43,morning,,
43,stone,,
42,person,,
42,matter,,
41,doubt,,
40,6,,
40,8,,
40,field,,
40,note,,
40,strange,,
40,snow,,
40,mentioned,,
40,nature,,
39,fields,,
39,fly,,
39,frost,,
39,legs,,
39,forest,,
